haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-crypton 0.34-7
haskell-crypton-connection 0.3.2-3
haskell-crypton-x509 1.7.6-24
haskell-crypton-x509-store 1.6.9-24
haskell-crypton-x509-system 1.6.7-24
haskell-crypton-x509-validation 1.6.12-24
haskell-data-array-byte 0.1.0.1-47
haskell-data-default 0.7.1.1-300
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-313
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-98
haskell-dec 0.0.5-4
haskell-digest 0.0.1.7-1
haskell-digits 0.3.1-17
haskell-distributive 0.6.2.1-205
haskell-dlist 1.0-235
haskell-doclayout 0.4.0.1-25
haskell-doctemplates 0.11-61
haskell-easy-file 0.2.5-17
haskell-emojis 0.1.3-6
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-63
haskell-file-embed 0.0.15.0-1
haskell-foldable1-classes-compat 0.1-57
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-86
haskell-gridtables 0.1.0.0-44
haskell-haddock-library 1.11.0-5
haskell-hashable 1.4.3.0-36
haskell-hourglass 0.2.12-242
haskell-hslua 2.3.0-38
haskell-hslua-aeson 2.3.0.1-22
haskell-hslua-classes 2.3.0-41
haskell-hslua-core 2.3.1-35
haskell-hslua-list 1.1.1-48
haskell-hslua-marshalling 2.3.0-36
haskell-hslua-module-doclayout 1.1.0-44
haskell-hslua-module-path 1.1.0-39
haskell-hslua-module-system 1.1.0.1-13
haskell-hslua-module-text 1.1.0.1-13
haskell-hslua-module-version 1.1.0-39
haskell-hslua-module-zip 1.1.1-6
haskell-hslua-objectorientation 2.3.0-36
haskell-hslua-packaging 2.3.0-36
haskell-hslua-repl 0.1.1-35
haskell-hslua-typing 0.1.0-36
haskell-http-api-data 0.5.1-43
haskell-http-client 0.7.15-11
haskell-http-client-tls 0.3.6.3-45
haskell-http-date 0.0.11-132
haskell-http-media 0.8.1.1-10
haskell-http-types 0.12.3-336
haskell-http2 4.1.0-7
haskell-hunit 1.6.2.0-219
haskell-indexed-traversable 0.1.3-49
haskell-indexed-traversable-instances 0.1.1.2-34
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-78
haskell-ipynb 0.2-128
haskell-isocline 1.0.9-1
haskell-jira-wiki-markup 1.5.1-18
haskell-juicypixels 3.3.8-27
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-337
haskell-lpeg 1.0.4-22
haskell-lua 2.3.2-2
haskell-memory 0.18.0-4
haskell-mime-types 0.1.2.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-98
haskell-mono-traversable 1.0.15.3-162
haskell-network 3.1.4.0-16
haskell-network-byte-order 0.1.7-1
haskell-network-uri 2.6.4.2-26
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.4-1
haskell-onetuple 0.3.1-71
haskell-only 0.1-22
haskell-optparse-applicative 0.17.1.0-19
haskell-ordered-containers 0.2.3-1
haskell-pandoc 3.1.7-3
haskell-pandoc-lua-engine 0.2.1-42
haskell-pandoc-lua-marshal 0.2.2-52
haskell-pandoc-server 0.1.0.4-8
haskell-pandoc-types 1.23.1-11
haskell-pem 0.2.4-282
haskell-pretty-show 1.10-14
haskell-prettyprinter 1.7.1-155
haskell-primitive 0.7.4.0-103
haskell-psqueues 0.2.8.0-6
haskell-quickcheck 2.14.3-53
haskell-random 1.2.1.1-154
haskell-recv 0.1.0-26
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2.2-34
haskell-resourcet 1.2.6-47
haskell-safe 0.3.21-1
haskell-safe-exceptions 0.1.7.4-17
haskell-scientific 0.3.7.0-109
haskell-semialign 1.2.0.1-150
haskell-semigroupoids 5.3.7-132
